match_id,path,time_index,seconds_after_context,seeds,any_clipped_seed_count,decoded_context_changed_seed_count,view0_extreme_contrast,allviews_extreme_contrast,view0_nontarget_role_rms,spearman_finite_seed_mean,spearman_defined_seed_count,slope_finite_seed_mean,slope_defined_seed_count,positive_adjacent_fraction_finite_seed_mean,positive_adjacent_fraction_defined_seed_count,nondecreasing_nonzero_seed_fraction,inconsistent_duplicate_seed_count,view0_contrast_minus_random_norm,view0_contrast_minus_wrong_variable_ball_x
2026-05-15T03-56-59Z-e3a44c,probe_linear,0,0.1,2,2,0,1.8624191284179688,0.4493131637573242,0.0054763707077148125,0.44999999999999996,2,0.0012049550558239134,2,0.5,2,0.0,0,1.5463333129882812,4.988353729248047
2026-05-15T03-56-59Z-e3a44c,probe_linear,1,0.2,2,2,0,-1.6707191467285156,0.9404306411743164,0.008602459887457677,-0.20129891760425772,2,-0.002170139571024076,2,0.5,2,0.0,0,-3.053497314453125,-2.8660736083984375
2026-05-15T03-56-59Z-e3a44c,probe_linear,2,0.3,2,2,0,4.054592132568359,3.4134750366210938,0.007456039444993116,0.3499999999999999,2,0.001635589314291305,2,0.625,2,0.0,0,3.2409515380859375,5.725311279296875
2026-05-15T03-56-59Z-e3a44c,probe_linear,3,0.4,2,2,0,-2.4843902587890625,-1.3363285064697266,0.007909519490184501,-0.4499999999999999,2,-0.002045695921972936,2,0.375,2,0.0,0,-0.6228141784667969,-2.3941116333007812
2026-05-29T18-15-24Z-2b37eb,probe_linear,0,0.1,2,2,0,1.5770072937011719,-1.0128984451293945,0.005340507539227301,0.6862288639637374,2,0.0013500134466315713,2,0.6666666666666666,2,0.0,0,0.9073524475097656,0.14397811889648438
2026-05-29T18-15-24Z-2b37eb,probe_linear,1,0.2,2,2,0,1.2890434265136719,0.48477935791015625,0.004526512164931517,0.0557383416806807,2,0.001405483087945464,2,0.5,2,0.5,0,2.909503936767578,-2.146137237548828
2026-05-29T18-15-24Z-2b37eb,probe_linear,2,0.3,2,2,0,-3.4368820190429688,-0.24334144592285156,0.0048342722570956734,-0.5263157894736842,2,-0.0028344128914160253,2,0.3333333333333333,2,0.0,0,-4.126983642578125,-5.4185791015625
2026-05-29T18-15-24Z-2b37eb,probe_linear,3,0.4,2,2,0,-4.245403289794922,-0.7623090744018555,0.005155114407164493,-0.9473684210526316,2,-0.00486887453267078,2,0.16666666666666666,2,0.0,0,-7.586856842041016,-2.340373992919922
2026-05-29T18-26-16Z-a78ba5,probe_linear,0,0.1,2,2,0,2.8375091552734375,0.3762493133544922,0.0040846613318630005,0.8873397172404481,2,0.002496640059219047,2,0.625,2,0.5,0,4.745941162109375,5.055625915527344
2026-05-29T18-26-16Z-a78ba5,probe_linear,1,0.2,2,2,0,0.41024017333984375,-1.5447320938110352,0.0075431110230157385,0.19999999999999998,2,-0.00020246334996267706,2,0.625,2,0.0,0,-0.6376972198486328,-0.7399425506591797
2026-05-29T18-26-16Z-a78ba5,probe_linear,2,0.3,2,2,0,-1.9383583068847656,1.4598522186279297,0.007308035654096547,-0.19999999999999998,2,-0.0008156557452573536,2,0.5,2,0.0,0,-3.4919471740722656,-1.9299468994140625
2026-05-29T18-26-16Z-a78ba5,probe_linear,3,0.4,2,2,0,-5.226467132568359,-2.4571075439453125,0.00779268187221848,-0.049999999999999996,2,-0.0022233401250083616,2,0.25,2,0.0,0,-3.1397743225097656,-4.764240264892578
2026-05-29T21-26-09Z-fa4c61,probe_linear,0,0.1,2,2,0,1.2421798706054688,0.09627342224121094,0.0045767239624650265,0.6473684210526316,2,0.0025998449064952153,2,0.7083333333333333,2,0.0,0,-0.3782806396484375,1.2421798706054688
2026-05-29T21-26-09Z-fa4c61,probe_linear,1,0.2,2,2,0,4.19854736328125,1.6221704483032227,0.006264386083386704,0.6421052631578947,2,0.00271389637424589,2,0.5833333333333333,2,0.0,0,5.819007873535156,4.580230712890625
2026-05-29T21-26-09Z-fa4c61,probe_linear,2,0.3,2,2,0,0.5946731567382812,-0.7946929931640625,0.0059975998939875135,0.2473684210526316,2,0.0016751870831819057,2,0.4583333333333333,2,0.0,0,-1.9799957275390625,1.3819046020507812
2026-05-29T21-26-09Z-fa4c61,probe_linear,3,0.4,2,2,0,-0.6696548461914062,0.05941963195800781,0.008021062319531098,0.002631578947368318,2,-0.0005689304793136201,2,0.5416666666666666,2,0.0,0,-0.00341796875,0.09371185302734375
2026-05-30T04-09-19Z-e64537,probe_linear,0,0.1,2,2,0,1.7247314453125,-0.33304405212402344,0.005049575073319554,0.6499999999999999,2,0.0018504952813101238,2,0.625,2,0.0,0,1.5447463989257812,5.0841827392578125
2026-05-30T04-09-19Z-e64537,probe_linear,1,0.2,2,2,0,1.5627288818359375,1.2260494232177734,0.00565922192409012,0.15,2,0.0006436066144409033,2,0.5,2,0.0,0,1.5267295837402344,3.3414382934570312
2026-05-30T04-09-19Z-e64537,probe_linear,2,0.3,2,2,0,-0.9148101806640625,0.07183361053466797,0.006727836674340356,-0.06915487078084032,2,-0.0011743102426168262,2,0.5,2,0.0,0,-1.2747726440429688,-2.2975692749023438
2026-05-30T04-09-19Z-e64537,probe_linear,3,0.4,2,2,0,-0.8788108825683594,-0.30256080627441406,0.0059178793271928345,0.005195670417030868,2,-0.0002795670541466692,2,0.375,2,0.0,0,1.0137977600097656,-0.08688735961914062
2026-05-09T10-15-51Z-b7fd20,affine_forward,0,0.1,2,2,0,0.0,0.3267526626586914,0.004270840332067743,-0.17884335658229436,2,-0.0007638394750507724,2,0.5,2,0.0,0,-2.7655181884765625,1.2387847900390625
2026-05-09T10-15-51Z-b7fd20,affine_forward,1,0.2,2,2,0,0.9508056640625,-0.9011573791503906,0.0046838311990544425,0.28858009417162633,2,0.000678407633353412,2,0.25,2,0.0,0,0.9508056640625,-0.5759429931640625
2026-05-09T10-15-51Z-b7fd20,affine_forward,2,0.3,2,2,0,0.5759429931640625,0.06113147735595703,0.004861068680350753,0.4472135954999579,2,0.0011331265650646582,2,0.5,2,0.0,0,5.73211669921875,1.526763916015625
2026-05-09T10-15-51Z-b7fd20,affine_forward,3,0.4,2,2,0,0.5759429931640625,0.31683874130249023,0.005628556595299655,0.28867513459481287,2,0.0005979622618491131,2,0.5,2,0.0,0,1.151885986328125,3.0517578125e-05
2026-05-10T09-50-31Z-8f49f2,affine_forward,0,0.1,2,2,0,1.14849853515625,0.7887258529663086,0.0038177651778954305,0.4662277660168379,2,0.0007681171194341075,2,0.375,2,0.0,0,0.1908721923828125,1.1484832763671875
2026-05-10T09-50-31Z-8f49f2,affine_forward,1,0.2,2,2,0,0.0,-0.2381305694580078,0.004898154953242412,-0.02564945880212885,2,-0.00018881004644283092,2,0.5,2,0.0,0,2.102691650390625,-0.381683349609375
2026-05-10T09-50-31Z-8f49f2,affine_forward,2,0.3,2,2,0,3.6089630126953125,-0.8546013832092285,0.015596221731698463,0.27954621161490195,2,0.0015002067816045623,2,0.625,2,0.0,0,2.6513442993164062,4.5734100341796875
2026-05-10T09-50-31Z-8f49f2,affine_forward,3,0.4,2,2,0,1.3495635986328125,-2.5129990577697754,0.02295240260313703,-0.001298917604257717,2,-0.0009785338388315287,2,0.5,2,0.0,0,0.7770233154296875,4.5836639404296875
2026-05-10T23-26-14Z-67db4f,affine_forward,0,0.1,2,2,0,-0.9576416015625,0.4227867126464844,0.0046122393184620065,-0.18421052631578952,2,-0.0006860450615187093,2,0.3333333333333333,2,0.0,0,0.9507904052734375,-1.24560546875
2026-05-10T23-26-14Z-67db4f,affine_forward,1,0.2,2,2,0,0.19769287109375,-1.0388965606689453,0.003622260377998574,0.09423121626159298,2,0.00013371015332109168,2,0.5,2,0.0,0,-0.1873931884765625,2.11297607421875
2026-05-10T23-26-14Z-67db4f,affine_forward,2,0.3,2,2,0,-1.4279327392578125,-0.006717681884765625,0.0048013153578126385,-0.6315789473684211,2,-0.0014729202782172122,2,0.5,2,0.0,0,-2.1912994384765625,-1.237091064453125
2026-05-10T23-26-14Z-67db4f,affine_forward,3,0.4,2,2,0,-1.9033050537109375,0.44538211822509766,0.006644547335623748,-0.5263157894736842,2,-0.0017576238044991442,2,0.3333333333333333,2,0.0,0,-2.9103469848632812,-5.507133483886719
2026-05-14T03-11-22Z-090bf8,affine_forward,0,0.1,2,1,0,0.7633819580078125,0.5307102203369141,0.005763368906429105,-0.08344296442767515,2,0.0005979911351240522,2,0.25,2,0.0,0,-0.38339996337890625,1.908447265625
2026-05-14T03-11-22Z-090bf8,affine_forward,1,0.2,2,1,0,-1.6530570983886719,0.060973167419433594,0.005471061970523536,-0.19999999999999993,2,-0.000380442838381178,2,0.375,2,0.0,0,-3.0089950561523438,-0.1983184814453125
2026-05-14T03-11-22Z-090bf8,affine_forward,2,0.3,2,1,0,0.39999961853027344,-1.3834643363952637,0.007277187662996402,0.05259783520851543,2,8.155841475054904e-05,2,0.5,2,0.0,0,1.0193958282470703,-2.790647506713867
