match_id,path,time_index,seconds_after_context,requested_dose_uu,effective_dose_seed_mean_uu,effective_dose_seed_min_uu,effective_dose_seed_max_uu,clipped_seed_count,view0_height_change_seed_mean_uu,allviews_height_change_seed_mean_uu
2026-05-10T23-26-14Z-67db4f,probe_linear,2,0.3,600.0,600.0,600.0,600.0,0,3.056915283203125,0.9609289169311523
2026-05-10T23-26-14Z-67db4f,probe_linear,3,0.4,-600.0,-267.64348839364914,-284.6904997860074,-250.5964770012909,2,0.998504638671875,-0.8021526336669922
2026-05-10T23-26-14Z-67db4f,probe_linear,3,0.4,-300.0,-267.64348839364914,-284.6904997860074,-250.5964770012909,2,0.998504638671875,-0.8021526336669922
2026-05-10T23-26-14Z-67db4f,probe_linear,3,0.4,0.0,0.0,0.0,0.0,0,0.0,0.0
2026-05-10T23-26-14Z-67db4f,probe_linear,3,0.4,300.0,300.0,299.99999999999994,300.0,1,-0.39361572265625,-0.9676332473754883
2026-05-10T23-26-14Z-67db4f,probe_linear,3,0.4,600.0,600.0,600.0,600.0,0,3.65325927734375,-0.11331939697265625
2026-05-14T03-11-22Z-090bf8,probe_linear,0,0.1,-600.0,-593.1801102222483,-600.0,-586.3602204444967,1,-0.9559097290039062,1.0039443969726562
2026-05-14T03-11-22Z-090bf8,probe_linear,0,0.1,-300.0,-300.0,-300.0,-300.0,0,-1.9084320068359375,0.5453824996948242
2026-05-14T03-11-22Z-090bf8,probe_linear,0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0
2026-05-14T03-11-22Z-090bf8,probe_linear,0,0.1,300.0,300.0,300.0,300.0,0,-2.2432594299316406,0.07837104797363281
2026-05-14T03-11-22Z-090bf8,probe_linear,0,0.1,600.0,600.0,600.0,600.0,0,0.14228439331054688,0.9076566696166992
2026-05-14T03-11-22Z-090bf8,probe_linear,1,0.2,-600.0,-593.1801102222483,-600.0,-586.3602204444967,1,0.44281768798828125,0.8839340209960938
2026-05-14T03-11-22Z-090bf8,probe_linear,1,0.2,-300.0,-300.0,-300.0,-300.0,0,-1.7644615173339844,-0.6346683502197266
2026-05-14T03-11-22Z-090bf8,probe_linear,1,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0
2026-05-14T03-11-22Z-090bf8,probe_linear,1,0.2,300.0,300.0,300.0,300.0,0,-2.1930007934570312,-0.3456907272338867
2026-05-14T03-11-22Z-090bf8,probe_linear,1,0.2,600.0,600.0,600.0,600.0,0,-0.6913909912109375,-1.5763349533081055
2026-05-14T03-11-22Z-090bf8,probe_linear,2,0.3,-600.0,-593.1801102222483,-600.0,-586.3602204444967,1,1.1919212341308594,0.41725826263427734
2026-05-14T03-11-22Z-090bf8,probe_linear,2,0.3,-300.0,-300.0,-300.0,-300.0,0,1.0044975280761719,0.5830259323120117
2026-05-14T03-11-22Z-090bf8,probe_linear,2,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0
2026-05-14T03-11-22Z-090bf8,probe_linear,2,0.3,300.0,300.0,300.0,300.0,0,-0.759979248046875,-0.8485240936279297
2026-05-14T03-11-22Z-090bf8,probe_linear,2,0.3,600.0,600.0,600.0,600.0,0,1.335906982421875,0.18562602996826172
2026-05-14T03-11-22Z-090bf8,probe_linear,3,0.4,-600.0,-593.1801102222483,-600.0,-586.3602204444967,1,0.026981353759765625,0.10216617584228516
2026-05-14T03-11-22Z-090bf8,probe_linear,3,0.4,-300.0,-300.0,-300.0,-300.0,0,-4.619106292724609,-0.4056816101074219
2026-05-14T03-11-22Z-090bf8,probe_linear,3,0.4,0.0,0.0,0.0,0.0,0,0.0,0.0
2026-05-14T03-11-22Z-090bf8,probe_linear,3,0.4,300.0,300.0,300.0,300.0,0,-2.1182098388671875,0.6979379653930664
2026-05-14T03-11-22Z-090bf8,probe_linear,3,0.4,600.0,600.0,600.0,600.0,0,-3.0761566162109375,-0.7221851348876953
2026-05-14T22-34-33Z-a2015e,probe_linear,0,0.1,-600.0,-313.9101066278163,-353.6552656285245,-274.16494762710806,2,-0.14568710327148438,0.5729656219482422
2026-05-14T22-34-33Z-a2015e,probe_linear,0,0.1,-300.0,-287.08247381355403,-300.0,-274.16494762710806,1,-0.14226913452148438,0.8717966079711914
2026-05-14T22-34-33Z-a2015e,probe_linear,0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0
