path,time_index,seconds_after_context,requested_dose_uu,view0_estimated_height_change_mean_uu,pointwise_match_bootstrap_low_uu,pointwise_match_bootstrap_high_uu,mean_effective_dose_uu,minimum_effective_dose_uu,maximum_effective_dose_uu,clipped_pair_fraction,matches,paired_seeds_per_match
affine_forward,2,0.3,300.0,0.5533027648925781,-0.6747661781311035,1.733412723541259,300.0,299.99999999999994,300.00000000000006,0.2,10,2
affine_forward,2,0.3,600.0,1.2524127960205078,-0.1566870594024658,2.665234127044677,600.0,599.9999999999999,600.0000000000001,0.25,10,2
affine_forward,3,0.4,-600.0,0.3426639556884766,-0.8442177677154541,1.5961094284057613,-385.19216435306436,-600.0,-250.5964770012909,0.95,10,2
affine_forward,3,0.4,-300.0,-0.6673473358154297,-2.2324993515014646,0.8885813999176019,-293.01313758606,-300.0,-250.5964770012909,0.3,10,2
affine_forward,3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2
affine_forward,3,0.4,300.0,0.013869476318359376,-1.4005987358093261,1.2763664817810056,300.0,299.99999999999994,300.00000000000006,0.2,10,2
affine_forward,3,0.4,600.0,-0.016283035278320312,-1.196593017578125,1.117299356460571,600.0,599.9999999999999,600.0000000000001,0.25,10,2
quadratic_forward,0,0.1,-600.0,-0.20174942016601563,-0.8538841533660889,0.545304546356201,-385.19216435306436,-600.0,-250.5964770012909,0.95,10,2
quadratic_forward,0,0.1,-300.0,0.22882919311523436,-0.41630080223083493,0.9174125099182127,-293.01313758606,-300.0,-250.5964770012909,0.3,10,2
quadratic_forward,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2
quadratic_forward,0,0.1,300.0,-0.072076416015625,-0.6721725654602051,0.6081229877471924,300.0,299.99999999999994,300.00000000000006,0.2,10,2
quadratic_forward,0,0.1,600.0,-0.03888359069824219,-1.0557934474945068,1.1362119483947752,600.0,599.9999999999999,600.0000000000001,0.25,10,2
quadratic_forward,1,0.2,-600.0,-0.6838424682617188,-1.9578491210937499,0.44665993690490724,-385.19216435306436,-600.0,-250.5964770012909,0.95,10,2
quadratic_forward,1,0.2,-300.0,-0.5192794799804688,-1.641403284072876,0.517478847503662,-293.01313758606,-300.0,-250.5964770012909,0.3,10,2
quadratic_forward,1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2
quadratic_forward,1,0.2,300.0,-0.431805419921875,-1.4653198909759522,0.46493528366088815,300.0,299.99999999999994,300.00000000000006,0.2,10,2
quadratic_forward,1,0.2,600.0,-0.7030956268310546,-1.7302246379852295,0.17570558547973633,600.0,599.9999999999999,600.0000000000001,0.25,10,2
quadratic_forward,2,0.3,-600.0,0.8227699279785157,-0.49092278480529783,2.1867658805847165,-385.19216435306436,-600.0,-250.5964770012909,0.95,10,2
quadratic_forward,2,0.3,-300.0,0.344805908203125,-0.867128620147705,1.3959743499755854,-293.01313758606,-300.0,-250.5964770012909,0.3,10,2
