path,time_index,seconds_after_context,matches,view0_extreme_contrast.mean,view0_extreme_contrast.match_bootstrap_ci95.0,view0_extreme_contrast.match_bootstrap_ci95.1,positive_contrast_matches,allviews_extreme_contrast.mean,allviews_extreme_contrast.match_bootstrap_ci95.0,allviews_extreme_contrast.match_bootstrap_ci95.1,view0_nontarget_role_rms.mean,view0_nontarget_role_rms.match_bootstrap_ci95.0,view0_nontarget_role_rms.match_bootstrap_ci95.1,view0_mean_height_by_requested_dose.0,view0_mean_height_by_requested_dose.1,view0_mean_height_by_requested_dose.2,view0_mean_height_by_requested_dose.3,view0_mean_height_by_requested_dose.4,nondecreasing_nonzero_pair_fraction,mean_match_spearman,eligible_rank_matches,undefined_rank_matches,undefined_rank_pairs,inconsistent_duplicate_dose_pairs,view0_contrast_minus_random_norm.mean,view0_contrast_minus_random_norm.match_bootstrap_ci95.0,view0_contrast_minus_random_norm.match_bootstrap_ci95.1,view0_contrast_minus_wrong_variable_ball_x.mean,view0_contrast_minus_wrong_variable_ball_x.match_bootstrap_ci95.0,view0_contrast_minus_wrong_variable_ball_x.match_bootstrap_ci95.1
quadratic_forward,2,0.3,10,-0.17185020446777344,-0.7706849575042725,0.43783866882324196,5,-0.21258907318115233,-0.5909962105751038,0.18075691699981689,0.006188709216204453,0.005300591506692266,0.0074073262878685976,0.8227699279785157,0.344805908203125,0.0,0.8354549407958984,0.6509197235107422,0.0,-0.009164139491945753,10,0,0,0,-0.3274188995361328,-1.4207934379577636,0.8131537055969235,-0.38016738891601565,-1.54787109375,0.7401876068115234
quadratic_forward,3,0.4,10,-0.7297462463378906,-2.212021541595459,0.7955007171630857,4,-0.19821906089782715,-0.681888815164566,0.31121417641639704,0.007798902570185537,0.006281156682310089,0.010106104577449966,0.544375228881836,-0.015645980834960938,0.0,-0.2157440185546875,-0.1853710174560547,0.05,-0.00031241481716904327,10,0,0,0,-0.6199438095092773,-2.1478514194488527,0.7889210557937617,-0.4030178070068359,-1.9835819625854494,1.383743915557861
random_norm,0,0.1,10,0.41255035400390627,-0.45566644668579104,1.2428153800964354,8,0.304319953918457,-0.0732956051826477,0.6557257795333861,0.004713695415362243,0.0042494974047561675,0.005273026923987844,-0.4380168914794922,0.3550697326660156,0.0,-0.09153518676757813,-0.025466537475585936,0.05,0.13315838704920002,10,0,0,0,0.0,0.0,0.0,1.29678955078125,-0.0004256629943847604,2.4453857994079584
random_norm,1,0.2,10,-0.006281089782714844,-0.8594971752166748,0.7359824371337889,6,0.40430302619934083,-0.05318243741989136,0.8581542098522186,0.005428806962888733,0.004627084282034782,0.006326256359019736,-0.4494617462158203,-0.005427932739257813,0.0,-0.2242216110229492,-0.45574283599853516,0.0,-0.027487462684047385,10,0,0,0,0.0,0.0,0.0,-0.09325027465820312,-1.6213492488861083,1.3420977687835691
random_norm,2,0.3,10,0.15556869506835938,-1.2154299354553222,1.17291127204895,7,0.0622560977935791,-0.36953570127487184,0.4652198374271391,0.005739100993848943,0.005236919582072452,0.006262450514211991,0.1484588623046875,0.8864227294921875,0.0,0.659881591796875,0.3040275573730469,0.05,0.03924761280704828,10,0,0,0,0.0,0.0,0.0,-0.052748489379882815,-1.6863167572021485,1.3783549880981447
random_norm,3,0.4,10,-0.10980243682861328,-1.0284380578994752,0.8163465499877929,5,-0.2640092849731445,-1.0825010323524475,0.4008016026020049,0.007066727344383567,0.00622026374268112,0.007899968463846956,-0.3627744674682617,-1.5289966583251953,0.0,-0.27191925048828125,-0.472576904296875,0.1,0.08609772796620743,10,0,0,0,0.0,0.0,0.0,0.2169260025024414,-1.192785758972168,1.9434150791168212
wrong_variable_ball_x,0,0.1,10,-0.8842391967773438,-1.80805438041687,0.017817430496215727,4,-0.30584373474121096,-0.7556100606918335,0.15371415376663192,0.004355875340529853,0.003985494011821683,0.004758710918202305,0.4649360656738281,0.10794754028320312,0.0,-0.45201683044433594,-0.41930313110351564,0.0,-0.08402084022549576,10,0,0,0,-1.29678955078125,-2.445385799407959,0.0004256629943846824,0.0,0.0,0.0
wrong_variable_ball_x,1,0.2,10,0.08696918487548828,-0.8772367668151855,1.138936586380005,5,0.2057432174682617,-0.4240787887573242,0.9745531463623044,0.005695932927529887,0.004844167257147812,0.006679263294024739,-0.18404998779296874,-0.6256702423095704,0.0,-0.9301080703735352,-0.09708080291748047,0.15,-0.04119444990461688,10,0,1,0,0.09325027465820312,-1.3420977687835693,1.6213492488861079,0.0,0.0,0.0
wrong_variable_ball_x,2,0.3,10,0.20831718444824218,-0.6775999641418456,1.1517179012298582,4,-0.32446632385253904,-0.8503174042701721,0.22670788764953612,0.007253575866327168,0.005498711046200377,0.010343170149229766,1.2233509063720702,1.170486831665039,0.0,0.5587882995605469,1.4316680908203125,0.0,-0.028507154659261714,10,0,0,0,0.052748489379882815,-1.3783549880981447,1.6863167572021482,0.0,0.0,0.0
wrong_variable_ball_x,3,0.4,10,-0.32672843933105467,-1.3597317981719972,0.774673633575439,3,0.11531181335449218,-0.36993873953819273,0.6369942641258239,0.009704248722258443,0.00604447674125604,0.014922435007246973,0.47379913330078127,-0.2037109375,0.0,-0.3157642364501953,0.14707069396972655,0.0,-0.11434087812416822,10,0,0,0,-0.2169260025024414,-1.9434150791168212,1.192785758972168,0.0,0.0,0.0
