model,variant,target,r2,mae,rmse
RGB_X/absolute30/all,shuffled,player0.velocity.x,-0.002472387620029215,738.7840967099529,891.288993210453
RGB_X/absolute30/all,shuffled,player0.velocity.y,-0.005728733790176799,986.6940013019113,1141.032187095221
RGB_X/absolute30/all,shuffled,player0.velocity.z,0.004023439573582643,74.11529513769293,165.6747051777815
RGB_X/absolute30/all,shuffled,player1.location.x,-0.028487012223842312,1736.725071091799,2115.0332481002074
RGB_X/absolute30/all,shuffled,player1.location.y,-0.044910242935649825,2246.0661065028103,2644.247765309245
RGB_X/absolute30/all,shuffled,player1.location.z,-0.058180729437378176,102.66603328161177,143.03632263397606
RGB_X/absolute30/all,shuffled,player1.velocity.x,-0.004173811421248841,686.4614763458641,842.4422735907996
RGB_X/absolute30/all,shuffled,player1.velocity.y,-0.0001278245130700295,916.8031722116704,1074.76585365248
RGB_X/absolute30/all,shuffled,player1.velocity.z,-0.014673072970565748,111.05857086984821,210.45380440284774
RGB_X/absolute30/all,shuffled,player2.location.x,-0.022735049641057214,1771.8327422787918,2152.2276641048265
RGB_X/absolute30/all,shuffled,player2.location.y,-0.0056401060087984956,2473.861444064571,2931.549483317209
RGB_X/absolute30/all,shuffled,player2.location.z,0.00010114449460341124,96.56577719087917,167.40525373703784
RGB_X/absolute30/all,shuffled,player2.velocity.x,-0.009220544893727922,746.4480044683062,892.346977117082
RGB_X/absolute30/all,shuffled,player2.velocity.y,-0.018225534985172542,952.5870255561122,1118.5375265780597
RGB_X/absolute30/all,shuffled,player2.velocity.z,-0.0061503746214919275,117.15236830001237,232.9274734873293
RGB_X/absolute30/all,shuffled,player3.location.x,-0.02181445747326416,1788.461995684646,2152.3430945004316
RGB_X/absolute30/all,shuffled,player3.location.y,0.003761720629305909,2350.879541466199,2786.2241867522594
RGB_X/absolute30/all,shuffled,player3.location.z,-0.03358569766478392,89.13988054437996,176.65488242314925
RGB_X/absolute30/all,shuffled,player3.velocity.x,-0.0007628148888056963,743.1740637029516,887.0886379894138
RGB_X/absolute30/all,shuffled,player3.velocity.y,-0.028242501214877036,935.7135146826532,1094.5559303511022
RGB_X/absolute30/all,shuffled,player3.velocity.z,0.003441286055856474,89.17954981283002,182.32099603079348
RGB_X/absolute30/all,mean_baseline,ball.location.x,-0.015292177830805498,1947.3397000162636,2317.8727729467046
