record_id,path,requested_dose,effective_dose,actual_internal_height_probe_delta,linear_probe_delivery_fraction,relative_descriptor_mismatch,actual_to_requested_raw_norm,descriptor_delta_cosine
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090702_affine_forward_dose-600,affine_forward,-600.0,-356.5324722849025,-187.02531167158185,,0.03298277733120293,1.02167008432918,0.9994811146319178
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090702_probe_linear_dose+300,probe_linear,300.0,300.0,295.7922690195894,0.985974230065298,0.04160189320775328,1.033065109212505,0.9992119577504451
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090702_probe_linear_dose+600,probe_linear,600.0,600.0,598.5457774194354,0.9975762956990589,0.02007843131317371,1.011265543180679,0.9998004587812108
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090702_probe_linear_dose-300,probe_linear,-300.0,-300.0,-295.7860698491279,0.9859535661637596,0.04146584106870744,1.0330633744673925,0.999218021640606
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090702_probe_linear_dose-600,probe_linear,-600.0,-356.5324722849025,-353.70334736456226,0.992064888501714,0.033414483128730146,1.0270842825058557,0.999465187329127
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090702_quadratic_forward_dose+300,quadratic_forward,300.0,300.0,162.82394509645792,,0.03672954372040815,1.023710363117296,0.9993865672777099
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090702_quadratic_forward_dose+600,quadratic_forward,600.0,600.0,310.6482162960883,,0.020926880549918418,1.0103226533314342,0.9997819421216123
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090702_quadratic_forward_dose-300,quadratic_forward,-300.0,-300.0,-180.82048728575376,,0.030478394973481496,1.0181073803283467,0.9995443745676739
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090702_quadratic_forward_dose-600,quadratic_forward,-600.0,-356.5324722849025,-216.61663105973918,,0.026850659912151787,1.0116239952395796,0.999648320612852
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090702_random_norm_dose+300,random_norm,300.0,300.0,2.376531479319681,,0.02925229742285812,1.0255875791924856,0.9995800630593904
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090702_random_norm_dose+600,random_norm,600.0,600.0,4.456035808435161,,0.017261817528108785,1.0091623077412062,0.9998510300826589
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090702_random_norm_dose-300,random_norm,-300.0,-300.0,-2.7338860838264054,,0.02261235566333593,1.0164562905595764,0.9997468727858771
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090702_random_norm_dose-600,random_norm,-600.0,-356.5324722849025,-3.774804870803905,,0.019813251334264505,1.011533773402169,0.9998046891552579
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090702_wrong_variable_ball_x_dose+300,wrong_variable_ball_x,300.0,300.0,14.842687976807667,,0.030613389252393573,1.0249103194547409,0.999543997146238
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090702_wrong_variable_ball_x_dose+600,wrong_variable_ball_x,600.0,600.0,27.590816043160373,,0.017256352655849447,1.0083589154788506,0.9998517728014863
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090702_wrong_variable_ball_x_dose-300,wrong_variable_ball_x,-300.0,-300.0,-19.460833866233827,,0.023105823920657898,1.0172180170771743,0.9997343383499243
2026-05-09T10-15-51Z-b7fd20_clip00_seed2026090702_wrong_variable_ball_x_dose-600,wrong_variable_ball_x,-600.0,-356.5324722849025,-23.278556297000875,,0.019113541585276665,1.0120898345225358,0.9998177522986041
2026-05-10T09-50-31Z-8f49f2_clip00_seed2026090701_affine_forward_dose+300,affine_forward,300.0,300.0,156.49857481778838,,0.03678412729912659,1.0182009307724977,0.9993881017936956
